county,pop,persons per household,persons 65 and over,households w computers,households w Internet,persons w out health ins,median household income,persons in poverty,pop per sq mile
Escambia FL,318316,2.47,0.171,0.897,0.817,0.129,49286,0.147,453.4
Duval FL,957755,2.55,0.145,0.894,0.812,0.142,53473,0.145,1,133.9
DeSoto FL,38001,2.74,0.225,0.62,0.53,0.246,35057,0.261,54.7
Collier FL,384902,2.55,0.329,0.922,0.83,0.226,65675,0.106,160.9
Clay FL,219252,2.81,0.163,0.942,0.879,0.124,62653,0.088,315.8
Indian River FL,159923,2.60,0.338,0.867,0.804,0.182,52336,0.107,274.5
Hillsborough FL,1471968,2.63,0.145,0.92,0.85,0.147,56137,0.147,1,204.9
Highlands FL,106221,2.44,0.36,0.81,0.707,0.194,37314,0.208,97.2
Hernando FL,193920,2.46,0.275,0.896,0.814,0.157,46030,0.141,365.6
Hendry FL,42022,3.17,0.138,0.743,0.642,0.272,40728,0.24,34.0
Hardee FL,26937,3.22,0.174,0.682,0.582,0.19,37594,0.27,43.5
Madison FL,18493,2.45,0.211,0.712,0.585,0.153,35509,0.228,27.6
Levy FL,41503,2.41,0.251,0.82,0.628,0.181,37634,0.161,36.5
Leon FL,293582,2.43,0.139,0.94,0.861,0.117,51201,0.207,413.1
Lee FL,770577,2.61,0.292,0.915,0.821,0.193,54691,0.121,788.7
Lake FL,367118,2.55,0.271,0.9,0.835,0.153,51884,0.115,316.6
Jackson FL,46414,2.40,0.206,0.772,0.697,0.148,39002,0.235,54.2
Nassau FL,88625,2.55,0.228,0.925,0.84,0.113,66297,0.104,113.0
Monroe FL,74228,2.39,0.237,0.915,0.812,0.196,67023,0.12,74.3
Miami-Dade FL,2716940,3.07,0.167,0.877,0.751,0.195,48982,0.16,1,315.5
Martin FL,161000,2.41,0.315,0.909,0.836,0.16,57959,0.107,269.2
Marion FL,365579,2.48,0.292,0.85,0.772,0.176,43361,0.151,209.1
Manatee FL,403253,2.57,0.281,0.908,0.808,0.171,56036,0.104,434.5
