"V1","location_name","date","deaths_mean","deaths_lower","deaths_upper","totdea_mean","totdea_lower","totdea_upper","deaths_mean_smoothed","deaths_lower_smoothed","deaths_upper_smoothed","totdea_mean_smoothed","totdea_lower_smoothed","totdea_upper_smoothed","mobility_data_type","mobility_composite","total_tests_data_type","total_tests","confirmed_infections","est_infections_mean","est_infections_lower","est_infections_upper"
54317,"New Mexico","2020-08-10",1.23405101388284,0.328810475108728,3.70101944350576,638.901178940734,574.426748834861,779.028072744634,1.23405101388284,0.328810475108728,3.70101944350576,638.901178940734,574.426748834861,779.028072744634,"projected",-11.8294271418373,,,,63.3861697742159,16.8744682646473,195.249855268537
54318,"New Mexico","2020-08-11",1.17601794042907,0.311633915310242,3.4768946008175,640.077196881163,574.852262521962,782.690025488981,1.17601794042907,0.311633915310242,3.4768946008175,640.077196881163,574.852262521962,782.690025488981,"projected",-11.6339801358192,,,,61.2475424232108,16.432091389189,190.083890162466
54319,"New Mexico","2020-08-12",1.12105819480404,0.293850397991844,3.29096729888214,641.198255075967,575.263036489297,786.187284782497,1.12105819480404,0.293850397991844,3.29096729888214,641.198255075967,575.263036489297,786.187284782497,"projected",-11.4401160848096,,,,59.2317327512552,16.0210701886797,185.101681045937
54320,"New Mexico","2020-08-13",1.06885910233963,0.27908648041608,3.11982793508083,642.267114178307,575.660040289175,789.532871226292,1.06885910233963,0.27908648041608,3.11982793508083,642.267114178307,575.660040289175,789.532871226292,"projected",-11.2478713867865,,,,57.3423868553708,15.6487287749071,180.383760780439
54321,"New Mexico","2020-08-14",1.01942752854611,0.26499047661695,3.03329842301567,643.286541706853,575.965852591477,792.732004637489,1.01942752854611,0.26499047661695,3.03329842301567,643.286541706853,575.965852591477,792.732004637489,"projected",-11.0572808543,,,,55.5745746737646,15.2048935722443,175.928065264143
54322,"New Mexico","2020-08-15",0.973001986304734,0.253000447884997,2.95393319196873,644.259543693158,576.251402267164,795.008637432452,0.973001986304734,0.253000447884997,2.95393319196873,644.259543693158,576.251402267164,795.008637432452,"projected",-9.14072668645901,,,,54.4612017802021,14.9010514782509,171.708979495277
54323,"New Mexico","2020-08-16",0.929557829135213,0.240463951123414,2.88149968528201,645.189101522293,576.525948783334,797.088956149866,0.929557829135213,0.240463951123414,2.88149968528201,645.189101522293,576.525948783334,797.088956149866,"projected",-8.91301673628972,,,,53.4464066158046,14.6821967854747,169.743238126603
54324,"New Mexico","2020-08-17",0.888823342935064,0.230121557627825,2.73927895066934,646.077924865228,576.790190887995,799.017918711312,0.888823342935064,0.230121557627825,2.73927895066934,646.077924865228,576.790190887995,799.017918711312,"projected",-8.6874344591567,,,,52.013886375342,14.3410889372113,166.631616699335
54325,"New Mexico","2020-08-18",0.850642408278497,0.221001306461071,2.59107748219803,646.928567273507,577.044830912128,800.803914297828,0.850642408278497,0.221001306461071,2.59107748219803,646.928567273507,577.044830912128,800.803914297828,"projected",-8.46401440773719,,,,50.6861498636992,14.0048226500629,163.742082058615
54326,"New Mexico","2020-08-19",0.814798843128931,0.209237777028082,2.45083782881779,647.743366116636,577.290515339464,802.455567075622,0.814798843128931,0.209237777028082,2.45083782881779,647.743366116636,577.290515339464,802.455567075622,"projected",-8.24278918220999,,,,49.4412953745441,13.7607538228505,161.010107724019
