"V1","location_name","date","location_id","deaths_mean","deaths_lower","deaths_upper","totdea_mean","totdea_lower","totdea_upper","deaths_mean_smoothed","deaths_lower_smoothed","deaths_upper_smoothed","totdea_mean_smoothed","totdea_lower_smoothed","totdea_upper_smoothed","mobility_data_type","mobility_composite","total_tests_data_type","total_tests","confirmed_infections","est_infections_mean","est_infections_lower","est_infections_upper"
82490,"Utah","2020-04-17",567,3,3,3,23,23,23,1.465153491526,1.465153491526,1.465153491526,24.776214455825,24.776214455825,24.776214455825,"observed",-44.4708,"observed",3159.07879758811,110.000000000002,,,
82491,"Utah","2020-04-18",567,2,2,2,25,25,25,1.4864241862498,1.4864241862498,1.4864241862498,26.2626386420748,26.2626386420748,26.2626386420748,"observed",-43.94993,"observed",3358.5985311847,124,,,
82492,"Utah","2020-04-19",567,2,2,2,27,27,27,1.5091989697702,1.5091989697702,1.5091989697702,27.771837611845,27.771837611845,27.771837611845,"observed",-43.40578,"observed",3552.98808121995,151.999999999999,,,
82493,"Utah","2020-04-20",567,1,1,1,28,28,28,1.5336060007009,1.5336060007009,1.5336060007009,29.3054436125459,29.3054436125459,29.3054436125459,"observed",-42.85204,"observed",3737.82421403145,144.000000000002,,,
82494,"Utah","2020-04-21",567,4,4,4,32,32,32,1.5597081690066,1.5597081690066,1.5597081690066,30.8651517815525,30.8651517815525,30.8651517815525,"observed",-42.29289,"observed",3905.71791622419,83.9999999999995,,,
82495,"Utah","2020-04-22",567,0,0,0,32,32,32,1.5874840557598,1.5874840557598,1.5874840557598,32.4526358373123,32.4526358373123,32.4526358373123,"observed",-41.72272,"observed",4045.84930648038,148,,,
82496,"Utah","2020-04-23",567,3,3,3,35,35,35,1.6168284122337,1.6168284122337,1.6168284122337,34.069464249546,34.069464249546,34.069464249546,"observed",-41.13156,"observed",4145.74070604082,166.999999999999,,,
82497,"Utah","2020-04-24",567,4,4,4,39,39,39,1.6475871132935,1.6475871132935,1.6475871132935,35.7170513628395,35.7170513628395,35.7170513628395,"observed",-40.51212,"observed",4195.17764380027,170,,,
82498,"Utah","2020-04-25",567,2,2,2,41,41,41,1.6795669038829,1.6795669038829,1.6795669038829,37.3966182667224,37.3966182667224,37.3966182667224,"observed",-39.86509,"observed",4190.59244307954,166.000000000001,,,
82499,"Utah","2020-04-26",567,0,0,0,41,41,41,1.7125671010967,1.7125671010967,1.7125671010967,39.1091853678191,39.1091853678191,39.1091853678191,"observed",-39.19373,"observed",4137.43693116055,174.999999999998,,,
82500,"Utah","2020-04-27",567,0,0,0,41,41,41,1.7464042894463,1.7464042894463,1.7464042894463,40.8555896572654,40.8555896572654,40.8555896572654,"observed",-38.49719,"observed",4049.10349069809,113.000000000001,,,
82501,"Utah","2020-04-28",567,0,0,0,41,41,41,1.78088029768981,1.78088029768981,1.78088029768981,42.6364699549552,42.6364699549552,42.6364699549552,"observed",-37.7729,"observed",3943.16724061667,109,,,
82502,"Utah","2020-04-29",567,4,4,4,45,45,45,1.8157598442757,1.8157598442757,1.8157598442757,44.4522297992309,44.4522297992309,44.4522297992309,"observed",-37.02258,"observed",3837.00761503744,152,,,
82503,"Utah","2020-04-30",567,1,1,1,46,46,46,1.8507658431967,1.8507658431967,1.8507658431967,46.3029956424276,46.3029956424276,46.3029956424276,"observed",-36.25548,"observed",3744.51463533432,175,,,
82504,"Utah","2020-05-01",567,0,0,0,46,46,46,1.8855890369051,1.8855890369051,1.8855890369051,48.1885846793327,48.1885846793327,48.1885846793327,"observed",-35.48887,"observed",3674.37743228137,156,,,
