county,pop,persons per household,persons 65 and over,households w computers,households w Internet,persons w out health ins,median household income,persons in poverty,pop per sq mile
Greene MO,293086,2.27,0.168,0.878,0.751,0.124,44808,0.155,407.5
Franklin MO,103967,2.50,0.18,0.876,0.76,0.11,55312,0.092,110.0
Clay MO,249948,2.62,0.144,0.932,0.864,0.09,68367,0.07,558.6
Cass MO,105780,2.58,0.173,0.916,0.823,0.102,67659,0.081,142.8
Cape Girardeau MO,78871,2.55,0.171,0.883,0.807,0.114,51730,0.138,130.8
Boone MO,180463,2.39,0.128,0.934,0.827,0.106,54043,0.168,237.3
Saline MO,22761,2.54,0.187,0.824,0.735,0.128,43201,0.148,30.9
Platte MO,104418,2.54,0.15,0.947,0.893,0.075,76912,0.058,212.6
Pettis MO,42339,2.60,0.171,0.85,0.738,0.174,44382,0.166,61.9
Perry MO,19136,2.47,0.192,0.83,0.768,0.109,54964,0.109,40.0
Jasper MO,121328,2.58,0.16,0.856,0.718,0.151,46929,0.166,183.9
Jackson MO,703011,2.41,0.154,0.873,0.787,0.125,52805,0.13,1115.3
Colfax NE,10709,2.87,0.138,0.819,0.731,0.164,56528,0.104,25.5
Buffalo NE,49659,2.44,0.15,0.901,0.823,0.093,56952,0.107,47.6
Adams NE,31363,2.35,0.189,0.87,0.785,0.09,51536,0.118,55.7
Yellowstone MT,161300,2.37,0.174,0.898,0.817,0.081,59117,0.109,56.2
Gallatin MT,114434,2.40,0.131,0.944,0.861,0.086,61499,0.09,34.4
Custer MT,11402,2.33,0.207,0.842,0.749,0.093,55841,0.125,3.1
Madison NE,35099,2.39,0.162,0.867,0.763,0.105,52857,0.117,60.9
Lancaster NE,319090,2.42,0.144,0.923,0.86,0.08,58009,0.124,340.8
Hall NE,61353,2.64,0.151,0.857,0.784,0.121,54742,0.13,107.3
Douglas NE,571327,2.51,0.134,0.89,0.828,0.104,61688,0.116,1574.4
Dodge NE,36565,2.33,0.194,0.868,0.757,0.102,53101,0.098,69.4
Dawson NE,23595,2.61,0.172,0.866,0.765,0.146,53769,0.121,24.0
Clark NV,2266715,2.76,0.151,0.914,0.81,0.13,56802,0.14,247.3
Thurston NE,7224,3.26,0.118,0.803,0.628,0.148,48149,0.239,17.6
Scotts Bluff NE,35618,2.43,0.196,0.856,0.752,0.112,50157,0.143,50.0
Sarpy NE,187196,2.72,0.121,0.947,0.899,0.062,79549,0.057,664.6
Saline NE,14224,2.63,0.154,0.851,0.755,0.133,51143,0.124,24.7
Platte NE,33470,2.51,0.176,0.861,0.772,0.111,62617,0.085,47.8
