county,pop,persons per household,persons 65 and over,households w computers,households w Internet,persons w out health ins,median household income,persons in poverty,pop per sq mile
Sullivan NY,75432,2.56,0.193,0.842,0.782,0.062,56256,0.162,80.1
Suffolk NY,1476601,2.99,0.173,0.918,0.87,0.049,96675,0.073,1637.4
Navajo AZ,110924,3.08,0.188,0.748,0.607,0.144,40054,0.285,10.8
Mohave AZ,212181,2.37,0.311,0.86,0.782,0.128,43266,0.168,15.0
Maricopa AZ,4485414,2.76,0.155,0.915,0.841,0.126,61606,0.123,414.9
La Paz AZ,21108,2.30,0.398,0.765,0.606,0.211,33333,0.237,4.6
Graham AZ,38837,3.12,0.14,0.868,0.719,0.121,51352,0.202,8.1
Gila AZ,54018,2.42,0.294,0.805,0.615,0.145,42092,0.204,11.3
Brunswick NC,142820,2.32,0.326,0.909,0.812,0.137,54406,0.105,126.8
Bladen NC,32722,2.38,0.228,0.777,0.652,0.178,32378,0.291,40.2
Bertie NC,18947,2.29,0.236,0.716,0.555,0.126,33143,0.235,30.4
Anson NC,24446,2.47,0.193,0.786,0.69,0.134,39126,0.205,50.7
Alamance NC,169509,2.43,0.171,0.869,0.759,0.138,45735,0.135,356.5
Westchester NY,967506,2.71,0.174,0.911,0.85,0.058,92758,0.083,2204.7
Cleveland NC,97947,2.59,0.19,0.76,0.631,0.131,40393,0.191,211.3
Chatham NC,74470,2.42,0.25,0.875,0.768,0.134,63531,0.093,93.1
Catawba NC,159551,2.52,0.183,0.862,0.788,0.135,51157,0.13,387.1
Caldwell NC,82178,2.48,0.204,0.819,0.747,0.144,42072,0.159,176.1
Cabarrus NC,216453,2.76,0.134,0.925,0.877,0.106,64174,0.09,492.1
Burke NC,90485,2.50,0.207,0.788,0.683,0.136,42516,0.14,179.3
Edgecombe NC,51472,2.46,0.204,0.744,0.616,0.127,35516,0.229,111.9
Durham NC,321488,2.37,0.136,0.918,0.854,0.126,58190,0.135,935.7
Duplin NC,58741,2.69,0.194,0.776,0.609,0.207,38850,0.204,71.7
Davie NC,42846,2.60,0.217,0.872,0.809,0.131,57611,0.108,156.2
Davidson NC,167609,2.49,0.185,0.847,0.759,0.142,47271,0.15,294.7
Cumberland NC,335509,2.55,0.122,0.895,0.817,0.107,45716,0.17,489.7
Henderson NC,117417,2.32,0.264,0.869,0.795,0.146,52815,0.097,286.1
Halifax NC,50010,2.38,0.214,0.756,0.569,0.133,34251,0.22,75.5
Guilford NC,537174,2.49,0.155,0.862,0.726,0.115,51072,0.154,756.4
Greene NC,21069,2.56,0.17,0.83,0.719,0.196,38306,0.235,80.3
Gaston NC,224529,2.62,0.163,0.853,0.777,0.124,49384,0.142,578.8
Forsyth NC,382295,2.46,0.164,0.886,0.793,0.128,50128,0.164,859.2
Lincoln NC,86111,2.52,0.179,0.865,0.79,0.124,53318,0.103,262.7
Lenoir NC,55949,2.42,0.202,0.82,0.744,0.142,38387,0.221,148.5
Lee NC,61779,2.72,0.168,0.841,0.744,0.162,48873,0.157,227.0
Johnston NC,209339,2.82,0.136,0.892,0.762,0.136,56842,0.117,213.4
Iredell NC,181806,2.62,0.162,0.89,0.802,0.121,58198,0.095,277.8
Hoke NC,55234,2.92,0.106,0.864,0.783,0.153,47535,0.18,120.2
Nash NC,94298,2.50,0.19,0.829,0.734,0.121,48362,0.142,177.3
Moore NC,100880,2.42,0.24,0.856,0.807,0.119,57899,0.105,126.5
Montgomery NC,27173,2.51,0.211,0.756,0.673,0.154,42346,0.167,56.5
Mecklenburg NC,1110356,2.57,0.115,0.934,0.865,0.13,64312,0.117,1755.5
Martin NC,22440,2.42,0.239,0.794,0.621,0.12,39205,0.203,53.1
McDowell NC,45756,2.45,0.208,0.814,0.701,0.138,40913,0.154,102.1
Richmond NC,44829,2.36,0.183,0.78,0.702,0.136,36091,0.199,98.4
Randolph NC,143667,2.53,0.181,0.83,0.71,0.157,45006,0.138,181.1
Person NC,39490,2.46,0.201,0.826,0.744,0.117,48811,0.148,100.6
Pender NC,63060,2.66,0.186,0.881,0.753,0.128,52989,0.151,60.0
Onslow NC,197938,2.71,0.096,0.933,0.855,0.099,49491,0.151,233.1
New Hanover NC,234473,2.32,0.184,0.91,0.835,0.117,52716,0.153,1058.1
Stanly NC,62806,2.49,0.193,0.859,0.773,0.13,49590,0.132,153.3
Scotland NC,34823,2.49,0.188,0.749,0.581,0.145,35617,0.269,113.4
Sampson NC,63531,2.66,0.183,0.79,0.596,0.188,39068,0.228,67.1
Rutherford NC,67029,2.48,0.222,0.786,0.666,0.14,40347,0.191,120.2
Rockingham NC,91010,2.41,0.209,0.79,0.684,0.133,42490,0.179,165.6
Robeson NC,130625,2.83,0.157,0.717,0.542,0.185,33679,0.245,141.3
Warren NC,19731,2.45,0.262,0.735,0.559,0.165,35962,0.198,48.9
Wake NC,1111761,2.62,0.12,0.955,0.897,0.1,76956,0.084,1078.8
Vance NC,44535,2.59,0.191,0.794,0.657,0.132,37282,0.263,179.2
