"V1","location_name","date","deaths_mean","deaths_lower","deaths_upper","totdea_mean","totdea_lower","totdea_upper","deaths_mean_smoothed","deaths_lower_smoothed","deaths_upper_smoothed","totdea_mean_smoothed","totdea_lower_smoothed","totdea_upper_smoothed","mobility_data_type","mobility_composite","total_tests_data_type","total_tests","confirmed_infections","est_infections_mean","est_infections_lower","est_infections_upper"
54278,"New Mexico","2020-07-02",3,3,3,503,503,503,3.99841887918603,3.99841887918603,3.99841887918603,520.159965912724,520.159965912724,520.159965912724,"projected",-18.8482052267722,,,244.000000000002,,,
54279,"New Mexico","2020-07-03",8,8,8,511,511,511,4.005174461862,4.005174461862,4.005174461862,524.165140374586,524.165140374586,524.165140374586,"projected",-18.8482052267722,,,256.000000000004,,,
54280,"New Mexico","2020-07-04",4.01149615946475,2.53275164516641,6.23258928504792,528.176636534051,526.697892019752,530.397729659634,4.01149615946475,2.53275164516641,6.23258928504792,528.176636534051,526.697892019752,530.397729659634,"projected",-18.8482052267722,,,287,438.559765054357,154.894058990013,1108.24952927314
54281,"New Mexico","2020-07-05",4.01943231709712,2.47989158888597,6.34012880916347,532.196068851148,529.180124502962,536.738315734055,4.01943231709712,2.47989158888597,6.34012880916347,532.196068851148,529.180124502962,536.738315734055,"projected",-18.8482052267722,,,,435.033011450789,149.17191966899,1121.45177889738
54282,"New Mexico","2020-07-06",4.02846735438595,2.42307453832352,6.44094229175422,536.224536205534,531.60784605521,543.179258025809,4.02846735438595,2.42307453832352,6.44094229175422,536.224536205534,531.60784605521,543.179258025809,"projected",-18.8482052267722,,,,431.160512248816,143.283170474146,1131.99884828401
54283,"New Mexico","2020-07-07",4.0404811552862,2.34741784695058,6.60960606444474,540.26501736082,533.997465688035,549.715465116912,4.0404811552862,2.34741784695058,6.60960606444474,540.26501736082,533.997465688035,549.715465116912,"projected",-18.8482052267722,,,,426.940493905849,137.172197616415,1139.92028968425
54284,"New Mexico","2020-07-08",4.05482665561945,2.30759321751115,6.8066484345878,544.31984401644,536.268036920039,556.339239256142,4.05482665561945,2.30759321751115,6.8066484345878,544.31984401644,536.268036920039,556.339239256142,"projected",-18.8482052267722,,,,422.767884270079,132.129853324173,1146.30100987098
54285,"New Mexico","2020-07-09",4.06932981443854,2.22059884049805,6.96895563509289,548.389173830878,538.53433025977,563.100309623254,4.06932981443854,2.22059884049805,6.96895563509289,548.389173830878,538.53433025977,563.100309623254,"projected",-18.629432885656,,,,419.304631502554,128.130962883367,1153.36799799053
54286,"New Mexico","2020-07-10",4.08379155165176,2.16746469287314,7.16884574969684,552.47296538253,540.637798315044,570.268511601806,4.08379155165176,2.16746469287314,7.16884574969684,552.47296538253,540.637798315044,570.268511601806,"projected",-18.4103910989233,,,,415.896776603032,124.746383351507,1158.85134464689
54287,"New Mexico","2020-07-11",4.09714327677444,2.08736669006676,7.3564696989132,556.570108659304,542.847264381261,578.014724442428,4.09714327677444,2.08736669006676,7.3564696989132,556.570108659304,542.847264381261,578.014724442428,"projected",-18.1911443446189,,,,411.968699593303,121.006794004585,1148.63882997225
54288,"New Mexico","2020-07-12",4.10284157519338,2.0110397546072,7.73243250076043,560.672950234498,545.091029054313,585.063953852617,4.10284157519338,2.0110397546072,7.73243250076043,560.672950234498,545.091029054313,585.063953852617,"projected",-17.9717573276937,,,,407.872054052189,116.935391658638,1153.59969619687
54289,"New Mexico","2020-07-13",4.10445915079118,1.94187199130388,7.82430007543762,564.777409385289,546.905778310956,592.646620817113,4.10445915079118,1.94187199130388,7.82430007543762,564.777409385289,546.905778310956,592.646620817113,"projected",-17.7522949017168,,,,403.620799237766,112.629981812078,1136.54053509255
54290,"New Mexico","2020-07-14",4.10376531623356,1.88311653388227,8.14932203566811,568.881174701522,548.760459946891,600.504070489278,4.10376531623356,1.88311653388227,8.14932203566811,568.881174701522,548.760459946891,600.504070489278,"projected",-17.5328219902483,,,,399.224122029055,108.511949438101,1116.60518510013
54291,"New Mexico","2020-07-15",4.09973857075511,1.82696390344209,8.32137578152322,572.980913272277,550.659290285435,608.445324843642,4.09973857075511,1.82696390344209,8.32137578152322,572.980913272277,550.659290285435,608.445324843642,"projected",-17.3134035080807,,,,394.99555565329,104.648241288494,1105.69778634028
54292,"New Mexico","2020-07-16",4.09084959049789,1.75765516824247,8.62914056569212,577.071762862775,552.508619187328,616.902826081409,4.09084959049789,1.75765516824247,8.62914056569212,577.071762862775,552.508619187328,616.902826081409,"projected",-17.0941042825548,,,,391.01087733775,101.588780922396,1120.844793736
54293,"New Mexico","2020-07-17",4.0790002798695,1.69435404319908,8.94355800592312,581.150763142645,554.173893107148,624.977032262517,4.0790002798695,1.69435404319908,8.94355800592312,581.150763142645,554.173893107148,624.977032262517,"projected",-16.8749889751576,,,,386.754271594833,98.3200128470547,1135.76721439045
