"V1","location_name","date","location_id","deaths_mean","deaths_lower","deaths_upper","totdea_mean","totdea_lower","totdea_upper","deaths_mean_smoothed","deaths_lower_smoothed","deaths_upper_smoothed","totdea_mean_smoothed","totdea_lower_smoothed","totdea_upper_smoothed","mobility_data_type","mobility_composite","total_tests_data_type","total_tests","confirmed_infections","est_infections_mean","est_infections_lower","est_infections_upper"
4925,"Arizona","2020-03-03",525,0,0,0,0,0,0,0.00507018303350801,0.00507018303350801,0.00507018303350801,0.152888677011344,0.152888677011344,0.152888677011344,"observed",2.253483,"observed",3.98842875608418,0.999999999999998,,,
4926,"Arizona","2020-03-04",525,0,0,0,0,0,0,0.00572833114440199,0.00572833114440199,0.00572833114440199,0.158617008155746,0.158617008155746,0.158617008155746,"observed",1.961102,"observed",4.73949848970734,0,,,
4927,"Arizona","2020-03-05",525,0,0,0,0,0,0,0.00658701238988199,0.00658701238988199,0.00658701238988199,0.165204020545628,0.165204020545628,0.165204020545628,"observed",1.645406,"observed",5.63353521741279,0,,,
4928,"Arizona","2020-03-06",525,0,0,0,0,0,0,0.007709178018143,0.007709178018143,0.007709178018143,0.172913198563771,0.172913198563771,0.172913198563771,"observed",1.239932,"observed",6.70665135031975,1,,,
4929,"Arizona","2020-03-07",525,0,0,0,0,0,0,0.00918258095025501,0.00918258095025501,0.00918258095025501,0.182095779514026,0.182095779514026,0.182095779514026,"observed",0.6677238,"observed",7.99611826735326,2,,,
4930,"Arizona","2020-03-08",525,0,0,0,0,0,0,0.011129967615427,0.011129967615427,0.011129967615427,0.193225747129453,0.193225747129453,0.193225747129453,"observed",-0.1408989,"observed",9.52709585422572,0,,,
4931,"Arizona","2020-03-09",525,0,0,0,0,0,0,0.013724752972537,0.013724752972537,0.013724752972537,0.20695050010199,0.20695050010199,0.20695050010199,"observed",-1.236728,"observed",11.3072868304395,0,,,
4932,"Arizona","2020-03-10",525,0,0,0,0,0,0,0.0172118357787,0.0172118357787,0.0172118357787,0.22416233588069,0.22416233588069,0.22416233588069,"observed",-2.647911,"observed",13.3368334610745,1,,,
4933,"Arizona","2020-03-11",525,0,0,0,0,0,0,0.021936260068743,0.021936260068743,0.021936260068743,0.246098595949433,0.246098595949433,0.246098595949433,"observed",-4.390118,"observed",15.6297029643726,3,,,
4934,"Arizona","2020-03-12",525,0,0,0,0,0,0,0.028388119726086,0.028388119726086,0.028388119726086,0.274486715675519,0.274486715675519,0.274486715675519,"observed",-6.475675,"observed",18.2332293236711,0,,,
