"V1","location_name","date","allbed_mean","allbed_lower","allbed_upper","ICUbed_mean","ICUbed_lower","ICUbed_upper","InvVen_mean","InvVen_lower","InvVen_upper","admis_mean","admis_lower","admis_upper","newICU_mean","newICU_lower","newICU_upper","bedover_mean","bedover_lower","bedover_upper","icuover_mean","icuover_lower","icuover_upper","deaths_mean","deaths_lower","deaths_upper","totdea_mean","totdea_lower","totdea_upper","deaths_mean_smoothed","deaths_lower_smoothed","deaths_upper_smoothed","totdea_mean_smoothed","totdea_lower_smoothed","totdea_upper_smoothed","mobility_data_type","mobility_composite","total_tests_data_type","total_tests","confirmed_infections","est_infections_mean","est_infections_lower","est_infections_upper"
54361,"New Mexico","2020-09-23",88.0569066838648,0,363.5875,25.8978470456015,0,106.525,23.310033034286,0,94.5,11.831992247132,0,51.5624999999999,3.49476898518149,0,14,0,0,0,0,0,0,2.62594814252923,0.336213311422733,10.8636971878471,788.534318119502,606.06048782891,1254.08142502813,2.62594814252923,0.336213311422733,10.8636971878471,788.534318119502,606.06048782891,1254.08142502813,"projected",-2.00390490838626,"projected",7569.81153668834,,351.497170798705,36.1510648665717,1612.51761415153
54362,"New Mexico","2020-09-24",88.6683444604759,0,369.625,26.0788872404556,0,105.5125,23.4844206026,0,95.525,11.8574853625949,0,51.025,3.54939687893806,0,14.5125,0,0,0,0,0,0,2.64368452170299,0.335165589069231,10.9159157367893,791.178002641205,606.503683306622,1265.37499180622,2.64368452170299,0.335165589069231,10.9159157367893,791.178002641205,606.503683306622,1265.37499180622,"projected",-1.869949061982,"projected",7607.28585122639,,356.586711236252,36.3670580447419,1639.11889361555
54363,"New Mexico","2020-09-25",89.2773073985655,0,357.8025,26.2884077381769,0,105.625,23.6671062620386,0,98,11.8362759967973,0,52.525,3.56447182254021,0,15.0125,0,0,0,0,0,0,2.66270874384775,0.333525082229477,11.0722476143556,793.840711385052,606.948590625137,1276.82731339881,2.66270874384775,0.333525082229477,11.0722476143556,793.840711385052,606.948590625137,1276.82731339881,"projected",-1.73880464495532,"projected",7644.76016576445,,362.406743039046,36.6454331193701,1678.33543633745
54364,"New Mexico","2020-09-26",89.7469586243005,0,364.9125,26.4656583085215,0,107.1375,23.8382401810608,0,97.0125,11.986066993056,0,50.025,3.60941550679712,0,15.5125,0,0,0,0,0,0,2.68224509535162,0.329097238614588,11.2106806099062,796.522956480404,607.395116648993,1288.43656472942,2.68224509535162,0.329097238614588,11.2106806099062,796.522956480404,607.395116648993,1288.43656472942,"projected",-1.61082850434969,"projected",7682.23448030252,,368.934032279382,36.8266670371406,1716.92447093329
54365,"New Mexico","2020-09-27",90.4676614450092,0,379.2,26.6740961186689,0,108.6125,24.0216887874381,0,98.55,12.3310369988671,0,56.0874999999999,3.65012424332204,0,16.5,0,0,0,0,0,0,2.70288480326013,0.324871408220713,11.2009090367845,799.225841283664,607.843229731405,1300.20257498061,2.70288480326013,0.324871408220713,11.2009090367845,799.225841283664,607.843229731405,1300.20257498061,"projected",-1.4866780097694,"projected",7719.70879484057,,375.753960142898,36.8377445785678,1756.33058331177
54366,"New Mexico","2020-09-28",90.8878616757426,0,381.0875,26.8453277488035,0,110.0375,24.1800593425365,0,100,12.1232273580994,0,53.2325,3.63821599674835,0,15.3375,0,0,0,0,0,0,2.72545523964834,0.321285395104007,11.358131287725,801.951296523313,608.182766021403,1312.14630318852,2.72545523964834,0.321285395104007,11.358131287725,801.951296523313,608.182766021403,1312.14630318852,"projected",-1.3669799225492,"projected",7757.18310937864,,382.896299988422,36.9115302393911,1797.35435098047
54367,"New Mexico","2020-09-29",91.6679994254112,0,385.1625,27.0736484554661,0,112.025,24.3851884393384,0,101.5125,12.4475067306876,0,60.0125,3.70682838125926,0,16.0125,0,0,0,0,0,0,2.74990306055441,0.321142478338484,11.5501469138317,804.701199583867,608.417894636635,1324.28739071327,2.74990306055441,0.321142478338484,11.5501469138317,804.701199583867,608.417894636635,1324.28739071327,"projected",-1.25181504346192,"projected",7794.65742391668,,390.382932496837,37.21444815672,1838.0432322277
54368,"New Mexico","2020-09-30",92.4263340914804,0,397.125,27.320324690832,0,114.5125,24.6095623478646,0,103.025,12.5690763428565,0,57.0125,3.75008814649403,0,16.5125,0,0,0,0,0,0,2.77651138690706,0.322919500580861,11.7510518730672,807.477710970774,608.651870907004,1336.6347314022,2.77651138690706,0.322919500580861,11.7510518730672,807.477710970774,608.651870907004,1336.6347314022,"projected",-1.14172828678659,"projected",7832.13173845475,,397.714735172199,37.4975366039551,1869.5102826839
54369,"New Mexico","2020-10-01",93.3720101490829,0,398.5875,27.5825582650193,0,115.0375,24.8580981228739,0,105.025,12.7507236100501,0,57.525,3.79354338986177,0,16.5,0,0,0,0,0,0,2.80569450488186,0.325203024914126,11.9614157562883,810.283405475656,608.884841063852,1349.19819384838,2.80569450488186,0.325203024914126,11.9614157562883,810.283405475656,608.884841063852,1349.19819384838,"projected",-1.03674997684236,"projected",7869.60605299282,,404.906231981993,37.7620786179439,1900.03975929055
54370,"New Mexico","2020-10-02",94.6316993262457,0,411.675,27.8771712458293,0,116.2,25.1271959382121,0,107.1125,13.1107335438255,0,64,3.85986485826265,0,18.0125,0,0,0,0,0,0,2.8365029267399,0.323123436376076,12.1691574300193,813.119908402396,609.116749554854,1361.89916367255,2.8365029267399,0.323123436376076,12.1691574300193,813.119908402396,609.116749554854,1361.89916367255,"projected",-0.937191627731252,"projected",7907.08036753087,,413.015234914984,38.0894332856406,1933.89354502577
